½ÃÁ¡,½Ã±º»êÁö,ÀÏÀÚ,Ç°Á¾,µµ¸Å°¡°Ý.¿ø.kg.,°Å·¡·®.Åæ.,°Å·¡±Ý¾×.¹é¸¸¿ø.,¸¶´Ã.¸éÀû..ha.,X10a´ç.»ý»ê·®..kg.,»ý»ê·®..Åæ.,X10a´ç.»ý»ê·®.Åæ,Æò±Õ,Æò±Õ±â¿Â..C.,ÀÏ°­¼ö·®.mm.,Æò±Õ.Ç³¼Ó.m.s.,ÇÕ°è.ÀÏÁ¶½Ã°£.hr.,Æò±Õ.Áö¸é¿Âµµ..C.,Æò±Õ.5cm.ÁöÁß¿Âµµ..C.
2018,°­¸ª,2018-10-04,±ñ¸¶´Ã,6218,0.04,0.24,265,754,1999,0.754,0.052313589,13.06961326,12.51111111,1.469060773,4.443093923,16.53646409,16.31049724
2018,°­¸ª,2018-05-21,±ñ¸¶´Ã,7026,0.1,0.71,265,754,1999,0.754,0.052313589,16.19558011,13.19180328,1.752486188,6.083977901,19.87624309,18.06685083
2018,°­¸ª,2018-10-02,±ñ¸¶´Ã,6126,0.03,0.17,265,754,1999,0.754,0.052313589,13.39889503,13.73392857,1.464088398,4.406629834,16.87569061,16.62541436
2018,°­¸ª,2018-10-01,±ñ¸¶´Ã,6208,0.08,0.48,265,754,1999,0.754,0.052313589,13.5718232,13.58947368,1.464640884,4.39558011,17.05359116,16.78287293
2018,°­¸ª,2018-02-01,Ç²¸¶´Ã,6796,0.03,0.18,265,754,1999,0.754,0.052313589,1.584530387,5.596296296,2.165745856,5.645856354,3.648066298,3.245856354
2018,°­¸ª,2018-09-28,±ñ¸¶´Ã,6286,0.07,0.44,265,754,1999,0.754,0.052313589,14.07513812,15.49322034,1.452486188,4.299447514,17.52320442,17.22707182
2018,°­¸ª,2018-07-06,±ñ¸¶´Ã,6579,0.02,0.13,265,754,1999,0.754,0.052313589,19.58618785,15.27391304,1.584530387,5.444198895,23.76077348,22.63425414
2018,°­¸ª,2018-01-31,±ñ¸¶´Ã,7513,0.02,0.12,265,754,1999,0.754,0.052313589,1.577348066,5.352830189,2.160220994,5.65801105,3.639779006,3.229834254
2018,°­¸ª,2018-09-21,±ñ¸¶´Ã,5981,0.07,0.43,265,754,1999,0.754,0.052313589,15.00110497,16.29193548,1.458563536,4.296132597,18.62596685,18.2519337
2018,°­¸ª,2018-09-20,±ñ¸¶´Ã,6850,0.03,0.23,265,754,1999,0.754,0.052313589,15.13425414,16.29193548,1.462430939,4.332044199,18.81491713,18.40165746
2018,°­¸ª,2018-03-14,±ñ¸¶´Ã,6813,0.03,0.22,265,754,1999,0.754,0.052313589,5.22320442,7.768518519,2.061878453,5.932596685,7.516022099,6.653038674
2018,°­¸ª,2018-01-30,±ñ¸¶´Ã,7657,0.02,0.16,265,754,1999,0.754,0.052313589,1.534254144,5.352830189,2.159668508,5.627624309,3.606077348,3.204972376
2018,°­¸ª,2018-09-19,±ñ¸¶´Ã,5793,0.03,0.17,265,754,1999,0.754,0.052313589,15.23701657,16.29193548,1.454143646,4.351933702,18.99337017,18.54640884
2018,°­¸ª,2018-09-18,±ñ¸¶´Ã,6289,0.07,0.46,265,754,1999,0.754,0.052313589,15.35248619,16.29193548,1.454696133,4.367955801,19.16906077,18.69005525
2018,°­¸ª,2018-01-30,Ç²¸¶´Ã,6900,0.03,0.19,265,754,1999,0.754,0.052313589,1.534254144,5.352830189,2.159668508,5.627624309,3.606077348,3.204972376
2018,°­¸ª,2018-09-17,±ñ¸¶´Ã,6167,0.1,0.59,265,754,1999,0.754,0.052313589,15.45856354,16.29193548,1.443646409,4.337569061,19.30939227,18.82651934
2018,°­¸ª,2018-09-17,Ç²¸¶´Ã,3400,0.01,0.03,265,754,1999,0.754,0.052313589,15.45856354,16.29193548,1.443646409,4.337569061,19.30939227,18.82651934
2018,°­¸ª,2018-08-06,±ñ¸¶´Ã,7380,0.26,1.93,265,754,1999,0.754,0.052313589,19.09834254,15.76515152,1.507734807,4.924861878,23.52762431,22.6198895
2018,°­¸ª,2018-09-13,±ñ¸¶´Ã,6377,0.06,0.41,265,754,1999,0.754,0.052313589,16.01546961,16.28709677,1.446961326,4.393922652,19.93425414,19.38232044
2018,°­¸ª,2018-03-09,Ç²¸¶´Ã,6533,0.02,0.16,265,754,1999,0.754,0.052313589,4.549171271,7.971698113,2.100552486,5.937569061,6.771823204,5.99281768
2018,°­¸ª,2018-09-12,±ñ¸¶´Ã,5917,0.02,0.14,265,754,1999,0.754,0.052313589,16.14861878,16.28709677,1.449723757,4.374585635,20.06353591,19.51160221
2018,°­¸ª,2018-09-11,±ñ¸¶´Ã,6633,0.05,0.36,265,754,1999,0.754,0.052313589,16.27016575,16.28870968,1.455248619,4.397790055,20.19668508,19.63922652
